Script started on Sun 26 Nov 2017 06:46:48 PM EST
]0;alex@alex-obsidubuntu: ~/git/MSCS692/shah-03/files/ae[01;32malex@alex-obsidubuntu[00m:[01;34m~/git/MSCS692/shah-03/files/ae[00m$ pt [K[Ky autoencoder.py 
2017-11-26 18:46:53.448634: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2017-11-26 18:46:53.539410: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:892] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-11-26 18:46:53.539639: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:01:00.0
totalMemory: 10.89GiB freeMemory: 10.10GiB
2017-11-26 18:46:53.539651: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:01:00.0, compute capability: 6.1)
['B01']
['B03']
['B02']
Loading images  ./ourds/*.jpg ['B01']
Number of images: 61
Number of rows: 256
Number of cols: 256
Dataset array size:  (61, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B03']
Number of images: 60
Number of rows: 256
Number of cols: 256
Dataset array size:  (60, 256, 256, 1)
Loading images  ./ourds/*.jpg ['B02']
Number of images: 66
Number of rows: 256
Number of cols: 256
Dataset array size:  (66, 256, 256, 1)
(61, 256, 256, 1)
(60, 256, 256, 1)
(66, 256, 256, 1)



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|          8790 |    37857.2891 | Layer 1 | Epoch 145  |
|          8820 |    36260.4766 | Layer 1 | Epoch 145  |
|          8850 |    38461.4766 | Layer 1 | Epoch 146  |
|          8880 |    40508.8672 | Layer 1 | Epoch 146  |
|          8910 |    38064.9258 | Layer 1 | Epoch 147  |
|          8940 |    40102.1719 | Layer 1 | Epoch 147  |
|          8970 |    37563.8477 | Layer 1 | Epoch 148  |
|          9000 |    39571.2109 | Layer 1 | Epoch 148  |
|          9030 |    40079.4766 | Layer 1 | Epoch 149  |
|          9060 |    41456.7891 | Layer 1 | Epoch 149  |
|          9090 |    41571.4102 | Layer 1 | Epoch 150  |
|          9120 |    37339.0273 | Layer 1 | Epoch 150  |
|          9150 |    38915.7656 | Layer 1 | Epoch 151  |
|          9180 |    39443.6445 | Layer 1 | Epoch 151  |
|          9210 |    38458.1445 | Layer 1 | Epoch 151  |
|          9240 |    39917.5625 | Layer 1 | Epoch 152  |
|          9270 |    37325.2695 | Layer 1 | Epoch 152  |
|          9300 |    37058.3320 | Layer 1 | Epoch 153  |
|          9330 |    37463.1836 | Layer 1 | Epoch 153  |
|          9360 |    38290.8945 | Layer 1 | Epoch 154  |
|          9390 |    36209.0039 | Layer 1 | Epoch 154  |
|          9420 |    41782.1797 | Layer 1 | Epoch 155  |
|          9450 |    35994.9922 | Layer 1 | Epoch 155  |
|          9480 |    39149.4453 | Layer 1 | Epoch 156  |
|          9510 |    38646.1055 | Layer 1 | Epoch 156  |
|          9540 |    38647.5742 | Layer 1 | Epoch 157  |
|          9570 |    39150.1367 | Layer 1 | Epoch 157  |
|          9600 |    36113.2109 | Layer 1 | Epoch 158  |
|          9630 |    40245.3008 | Layer 1 | Epoch 158  |
|          9660 |    37330.8945 | Layer 1 | Epoch 159  |
|          9690 |    37893.2930 | Layer 1 | Epoch 159  |
|          9720 |    39256.6641 | Layer 1 | Epoch 160  |
|          9750 |    41310.5664 | Layer 1 | Epoch 160  |
|          9780 |    39872.8320 | Layer 1 | Epoch 161  |
|          9810 |    40450.4766 | Layer 1 | Epoch 161  |
|          9840 |    39986.2539 | Layer 1 | Epoch 162  |
|          9870 |    37505.7578 | Layer 1 | Epoch 162  |
|          9900 |    36527.2070 | Layer 1 | Epoch 163  |
|          9930 |    38719.1484 | Layer 1 | Epoch 163  |
|          9960 |    38785.3984 | Layer 1 | Epoch 164  |
|          9990 |    38971.2773 | Layer 1 | Epoch 164  |
|         10020 |    36903.7070 | Layer 1 | Epoch 165  |
|         10050 |    39473.5977 | Layer 1 | Epoch 165  |
|         10080 |    36016.1953 | Layer 1 | Epoch 166  |
|         10110 |    37649.8047 | Layer 1 | Epoch 166  |
|         10140 |    40676.4766 | Layer 1 | Epoch 167  |
|         10170 |    36417.6484 | Layer 1 | Epoch 167  |
|         10200 |    42150.8789 | Layer 1 | Epoch 168  |
|         10230 |    38341.1328 | Layer 1 | Epoch 168  |
|         10260 |    39901.2578 | Layer 1 | Epoch 169  |
|         10290 |    41363.6133 | Layer 1 | Epoch 169  |
|         10320 |    40374.2500 | Layer 1 | Epoch 170  |
|         10350 |    38814.5078 | Layer 1 | Epoch 170  |
|         10380 |    38571.5117 | Layer 1 | Epoch 171  |
|         10410 |    38222.3516 | Layer 1 | Epoch 171  |
|         10440 |    38566.7773 | Layer 1 | Epoch 172  |
|         10470 |    36986.6562 | Layer 1 | Epoch 172  |
